site	depth	min	max	median	mean
AngkorThom	0	2017	2024	2021	2021
AngkorThom	1	2017	2023	2021	2020
AngkorThom	2	2017	2022	2020	2020
AngkorThom	3	2016	2022	2020	2019
AngkorThom	4	2016	2021	2019	2019
AngkorThom	5	2016	2021	2019	2019
AngkorThom	6	2015	2020	2018	2018
AngkorThom	7	2015	2020	2018	2018
AngkorThom	8	2015	2019	2017	2017
AngkorThom	9	2014	2019	2017	2017
AngkorThom	10	2013	2019	2016	2016
AngkorThom	11	2013	2019	2016	2016
AngkorThom	12	2012	2018	2015	2015
AngkorThom	13	2011	2017	2014	2014
AngkorThom	14	2010	2015	2012	2012
AngkorThom	15	2009	2013	2011	2011
AngkorThom	16	2008	2012	2010	2010
AngkorThom	17	2006	2010	2008	2008
AngkorThom	18	2005	2009	2007	2007
AngkorThom	19	2003	2008	2005	2005
AngkorThom	20	2001	2007	2004	2004
AngkorThom	21	2000	2006	2002	2003
AngkorThom	22	1998	2005	2001	2001
AngkorThom	23	1996	2004	2000	2000
AngkorThom	24	1994	2003	1998	1998
AngkorThom	25	1983	1996	1991	1991
AngkorThom	26	1969	1988	1984	1983
AngkorThom	27	1955	1981	1977	1976
AngkorThom	28	1941	1973	1970	1968
AngkorThom	29	1927	1966	1963	1961
AngkorThom	30	1913	1959	1956	1953
AngkorThom	31	1899	1952	1949	1945
AngkorThom	32	1885	1945	1942	1938
AngkorThom	33	1871	1939	1935	1930
AngkorThom	34	1857	1932	1928	1923
AngkorThom	35	1843	1926	1921	1915
AngkorThom	36	1829	1919	1914	1908
AngkorThom	37	1827	1913	1905	1900
AngkorThom	38	1825	1911	1897	1892
AngkorThom	39	1822	1909	1888	1884
AngkorThom	40	1820	1907	1879	1876
AngkorThom	41	1816	1905	1871	1869
AngkorThom	42	1807	1903	1862	1861
AngkorThom	43	1794	1901	1854	1853
AngkorThom	44	1782	1899	1845	1845
AngkorThom	45	1768	1897	1836	1837
AngkorThom	46	1752	1895	1828	1830
AngkorThom	47	1740	1893	1819	1822
AngkorThom	48	1726	1891	1812	1814
AngkorThom	49	1724	1883	1803	1806
AngkorThom	50	1723	1875	1795	1798
AngkorThom	51	1722	1871	1787	1790
AngkorThom	52	1719	1866	1779	1782
AngkorThom	53	1718	1862	1771	1774
AngkorThom	54	1715	1858	1763	1766
AngkorThom	55	1714	1853	1755	1758
AngkorThom	56	1708	1848	1748	1750
AngkorThom	57	1700	1843	1740	1742
AngkorThom	58	1692	1839	1732	1735
AngkorThom	59	1680	1835	1724	1727
AngkorThom	60	1676	1830	1716	1719
AngkorThom	61	1665	1810	1704	1707
AngkorThom	62	1654	1789	1693	1695
AngkorThom	63	1643	1768	1682	1683
AngkorThom	64	1626	1747	1671	1671
AngkorThom	65	1608	1727	1661	1659
AngkorThom	66	1588	1706	1651	1647
