age_median	mineral_mass_acc_rate
1977	0.030346046
1934.7	0.034137785
1892.9	0.03135841
1849.9	0.03290917
1808.8	0.032617405
1767	0.027668009
1716.7	0.026179765
1665.8	0.03026031
1614.5	0.020825588
1562.1	0.013908392
1501.5	0.031451088
1473.6173	0.036679067
1457.1665	0.050380529
1440.7157	0.055328616
1437.1	0.087935814
1424.2649	0.032110733
1399.6	0.107367816
1384.4	0.331494919
1382.2	0.077139535
1364.4	0.10363
1351.7	0.089865263
1344.3	0.09556
1324	0.167425
1319.3	0.150714761
1310.3	0.264375
1304.7	0.273509091
1299.2	0.228589286
1293.6	0.282037736
1288.3	0.305134615
1286.7	0.365473404
1283.1	0.200588235
1278	0.247442308
1272.8	0.307098039
1267.7	0.306415094
1262.4	0.321160714
1256.8	0.274909091
1251.3	0.408218182
1245.8	0.413763636
1240.3	0.400375
1238.9	0.322973489
1234.7	0.342983333
1228.7	0.3963
1222.7	0.338948276
1216.9	0.312862069
1211.1	0.433894737
1203.5	0.31715625
1193.9	0.252489583
1188.9	0.271290918
1184.3	0.340333333
1174.7	0.393864583
1165.1	249
1153.4	0.288619718
1140.1	1.52209579
1139.2	0.204609929
1125.1	0.383734266
1110.8	0.30034965
1096.5	0.354279279
1044.2	0.156842809
1014.3	0.233572391
984.6	0.203204698
954.8	0.144870324
914.7	0.102837255
863.7	0.093717694
813.4	0.144482213
762.8	0.134909274
713.2	0.131610465
661.6	0.134451796
608.7	0.144286528
556	0.136270321
503.1	0.154061069
450.7	0.158246411
408.9	0.135180495
359.148	0.156777617
309.396	0.152500402
259.644	0.152182827
209.892	0.125812028
160.14	0.136342258
110.388	0.128841052
60.636	0.151258328
