field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	ArchiveSampleDepthCalTape	time	basedir	basename
CAM2313M	CAM23-13	LV3006007310	LV3000765846	111	10	10	/projects/caeg/data/production/LV3/000/765/LV3000765846/20240704_BH5FCVDSX7	 Lib_LV3000765846
CAM2313M	CAM23-13	LV3006006402	LV7001888062	164	63	63	/projects/caeg/data/production/LV7/001/888/LV7001888062/20240724_BH5F2GDSX7	 Lib_LV7001888062
CAM2313M	CAM23-13	LV3006007296	LV7008955463	119.5	18.5	18.5	/projects/caeg/data/production/LV7/008/955/LV7008955463/20240704_BH5FCVDSX7	 Lib_LV7008955463
CAM2313M	CAM23-13	LV3006007313	LV7008955486	121	20	20	/projects/caeg/data/production/LV7/008/955/LV7008955486/20240704_BH5FCVDSX7	 Lib_LV7008955486
CAM2313M	CAM23-13	LV3006006414	LV7008955584	161	60	60	/projects/caeg/data/production/LV7/008/955/LV7008955584/20240724_BH5F2GDSX7	 Lib_LV7008955584
CAM2313M	CAM23-13	LV3006007314	LV7008957213	115.5	14.5	14.5	/projects/caeg/data/production/LV7/008/957/LV7008957213/20240704_BH5FCVDSX7	 Lib_LV7008957213
CAM2313M	CAM23-13	LV3006007295	LV7008957215	125.5	24.5	24.5	/projects/caeg/data/production/LV7/008/957/LV7008957215/20240704_BH5FCVDSX7	 Lib_LV7008957215
CAM2313M	CAM23-13	LV3006007307	LV7008957217	122.5	21.5	21.5	/projects/caeg/data/production/LV7/008/957/LV7008957217/20240704_BH5FCVDSX7	 Lib_LV7008957217
CAM2313M	CAM23-13	LV3006006424	LV7008957253	165.5	64.5	64.5	/projects/caeg/data/production/LV7/008/957/LV7008957253/20240724_BH5F2GDSX7	 Lib_LV7008957253
CAM2313M	CAM23-13	LV3006006399	LV7008957262	145	44	44	/projects/caeg/data/production/LV7/008/957/LV7008957262/20240704_BH5FCVDSX7	 Lib_LV7008957262
CAM2313M	CAM23-13	LV3006007299	LV7008957311	136	35	35	/projects/caeg/data/production/LV7/008/957/LV7008957311/20240704_BH5FCVDSX7	 Lib_LV7008957311
CAM2313M	CAM23-13	LV3006007294	LV7008957395	131.5	30.5	30.5	/projects/caeg/data/production/LV7/008/957/LV7008957395/20240704_BH5FCVDSX7	 Lib_LV7008957395
CAM2313M	CAM23-13	LV3006007298	LV7008957549	101.5	0.5	0.5	/projects/caeg/data/production/LV7/008/957/LV7008957549/20240704_BH5FCVDSX7	 Lib_LV7008957549
CAM2313M	CAM23-13	LV3006006391	LV7008957590	179.5	78.5	78.5	/projects/caeg/data/production/LV7/008/957/LV7008957590/20240724_BH5F2GDSX7	 Lib_LV7008957590
