"time" "is_first_times" "QFILT" "fit_q" "lwr" "upr"
"1" 0.5 TRUE 0.0030342 -0.0211759515059385 -0.120405494136657 0.0780535911247799
"2" 2.5 TRUE 0.0008132 0.0291928582715381 -0.0298350756263167 0.088220792169393
"3" 4 TRUE 0.023772 0.0832174461846763 0.0208693197947303 0.145565572574622
"4" 6 FALSE 0.229012 0.178554449145969 0.11473834380768 0.242370554484258
"5" 7.5 FALSE 0.222487 0.248937186619764 0.190604918073993 0.307269455165535
"6" 8.5 FALSE 0.305998 0.274396451350614 0.212072958199999 0.336719944501229
"7" 10 FALSE 0.262252 0.292891701707114 0.227651863310633 0.358131540103595
"8" 13 FALSE 0.297057 0.288810186944373 0.22222559087677 0.355394783011976
"9" 14.5 FALSE 0.277504 0.288849875865616 0.216215037222999 0.361484714508234
"10" 21.5 FALSE 0.2745399 0.314662245670272 0.226296255176599 0.403028236163945
"11" 26 FALSE 0.440121 0.340684077467312 0.28030962345065 0.401058531483974
"12" 27.5 FALSE 0.301291 0.348891685753066 0.28893946287992 0.408843908626212
"13" 29 FALSE 0.300834 0.349322554259126 0.290530237875656 0.408114870642596
"14" 30.5 FALSE NA 0.357981645433024 0.300537259094445 0.415426031771603
"15" 31.5 FALSE 0.401966 0.364358437360363 0.302234991144145 0.42648188357658
"16" 33.5 FALSE 0.356916 0.400464833489605 0.333692660313988 0.467237006665222
"17" 35 FALSE 0.430728 0.390783475621755 0.325291168164038 0.456275783079473
"18" 38.5 FALSE 0.29321645 0.313285969414515 0.241522184997665 0.385049753831366
"19" 40.5 FALSE 0.276154 0.253010888861607 0.179594228589498 0.326427549133715
"20" 42.5 FALSE NA 0.22480613622538 0.161857157250827 0.287755115199934
"21" 44 FALSE 0.162244 0.21941134951454 0.152310845611752 0.286511853417327
"22" 45.5 FALSE 0.2751458 0.236342714343646 0.173101365772759 0.299584062914533
"23" 47 FALSE 0.252609925 0.288768549425945 0.221445752045078 0.356091346806811
"24" 48.5 FALSE 0.324086 0.290901157243261 0.224870961075412 0.35693135341111
"25" 50.5 FALSE 0.272604 0.270307215473152 0.204277019305303 0.336337411641001
"26" 52 FALSE 0.23472 0.286027935141284 0.223045384109507 0.349010486173061
"27" 53.5 FALSE 0.3491025 0.329149338187615 0.266166787155838 0.392131889219392
"28" 55 FALSE 0.4003995 0.365539584182915 0.30362950437753 0.427449663988299
"29" 57 FALSE 0.403443 0.384155294967159 0.323930192752506 0.444380397181812
"30" 58.5 FALSE 0.3548275 0.372239940660887 0.276727159361444 0.46775272196033
"31" 61.5 FALSE NA NA NA NA
"32" 70.5 FALSE NA NA NA NA
