field_sample_parent_id	field_sample_id	archive_sample_id	library_id	Master.Depth..cm.	ArchiveSampleDepthCalTape	time	basedir	basename	aggregate_stat_files
CAM2201M	CAM2201	LV3005573878	LV7001884449	NA	66	66	/projects/caeg/data/production/LV30/0557/LV3005573878/20230414_BHMGMJDSX5_LV7001884449	 LV3005573878_LV7001884449	/projects/caeg/data/production/LV30/0557/LV3005573878/20230414_BHMGMJDSX5_LV7001884449/stats/metadmg/aggregate//LV3005573878_LV7001884449_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573878	LV7001884449	NA	66	66	/projects/caeg/data/production/LV30/0557/LV3005573878/20230414_BHMGMJDSX5_LV7001884449	 LV3005573878_LV7001884449	/projects/caeg/data/production/LV30/0557/LV3005573878/20230414_BHMGMJDSX5_LV7001884449/stats/metadmg/aggregate//LV3005573878_LV7001884449_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573865	LV7001891118	NA	74.5	74.5	/projects/caeg/data/production/LV30/0557/LV3005573865/20230414_BHMGMJDSX5_LV7001891118	 LV3005573865_LV7001891118	/projects/caeg/data/production/LV30/0557/LV3005573865/20230414_BHMGMJDSX5_LV7001891118/stats/metadmg/aggregate//LV3005573865_LV7001891118_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573865	LV7001891118	NA	74.5	74.5	/projects/caeg/data/production/LV30/0557/LV3005573865/20230414_BHMGMJDSX5_LV7001891118	 LV3005573865_LV7001891118	/projects/caeg/data/production/LV30/0557/LV3005573865/20230414_BHMGMJDSX5_LV7001891118/stats/metadmg/aggregate//LV3005573865_LV7001891118_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573882	LV7001897155	NA	68.5	68.5	/projects/caeg/data/production/LV30/0557/LV3005573882/20230414_BHMGMJDSX5_LV7001897155	 LV3005573882_LV7001897155	/projects/caeg/data/production/LV30/0557/LV3005573882/20230414_BHMGMJDSX5_LV7001897155/stats/metadmg/aggregate//LV3005573882_LV7001897155_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573882	LV7001897155	NA	68.5	68.5	/projects/caeg/data/production/LV30/0557/LV3005573882/20230414_BHMGMJDSX5_LV7001897155	 LV3005573882_LV7001897155	/projects/caeg/data/production/LV30/0557/LV3005573882/20230414_BHMGMJDSX5_LV7001897155/stats/metadmg/aggregate//LV3005573882_LV7001897155_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573872	LV7001897394	NA	71.5	71.5	/projects/caeg/data/production/LV30/0557/LV3005573872/20230414_BHMGMJDSX5_LV7001897394	 LV3005573872_LV7001897394	/projects/caeg/data/production/LV30/0557/LV3005573872/20230414_BHMGMJDSX5_LV7001897394/stats/metadmg/aggregate//LV3005573872_LV7001897394_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573872	LV7001897394	NA	71.5	71.5	/projects/caeg/data/production/LV30/0557/LV3005573872/20230414_BHMGMJDSX5_LV7001897394	 LV3005573872_LV7001897394	/projects/caeg/data/production/LV30/0557/LV3005573872/20230414_BHMGMJDSX5_LV7001897394/stats/metadmg/aggregate//LV3005573872_LV7001897394_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573877	LV7001902952	NA	73	73	/projects/caeg/data/production/LV30/0557/LV3005573877/20230414_BHMGMJDSX5_LV7001902952	 LV3005573877_LV7001902952	/projects/caeg/data/production/LV30/0557/LV3005573877/20230414_BHMGMJDSX5_LV7001902952/stats/metadmg/aggregate//LV3005573877_LV7001902952_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573877	LV7001902952	NA	73	73	/projects/caeg/data/production/LV30/0557/LV3005573877/20230414_BHMGMJDSX5_LV7001902952	 LV3005573877_LV7001902952	/projects/caeg/data/production/LV30/0557/LV3005573877/20230414_BHMGMJDSX5_LV7001902952/stats/metadmg/aggregate//LV3005573877_LV7001902952_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573870	LV7001903276	NA	70	70	/projects/caeg/data/production/LV30/0557/LV3005573870/20230414_BHMGMJDSX5_LV7001903276	 LV3005573870_LV7001903276	/projects/caeg/data/production/LV30/0557/LV3005573870/20230414_BHMGMJDSX5_LV7001903276/stats/metadmg/aggregate//LV3005573870_LV7001903276_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573870	LV7001903276	NA	70	70	/projects/caeg/data/production/LV30/0557/LV3005573870/20230414_BHMGMJDSX5_LV7001903276	 LV3005573870_LV7001903276	/projects/caeg/data/production/LV30/0557/LV3005573870/20230414_BHMGMJDSX5_LV7001903276/stats/metadmg/aggregate//LV3005573870_LV7001903276_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573876	LV7001903292	NA	67	67	/projects/caeg/data/production/LV30/0557/LV3005573876/20230414_BHMGMJDSX5_LV7001903292	 LV3005573876_LV7001903292	/projects/caeg/data/production/LV30/0557/LV3005573876/20230414_BHMGMJDSX5_LV7001903292/stats/metadmg/aggregate//LV3005573876_LV7001903292_collapsed.stat.gz
CAM2201M	CAM2201	LV3005573876	LV7001903292	NA	67	67	/projects/caeg/data/production/LV30/0557/LV3005573876/20230414_BHMGMJDSX5_LV7001903292	 LV3005573876_LV7001903292	/projects/caeg/data/production/LV30/0557/LV3005573876/20230414_BHMGMJDSX5_LV7001903292/stats/metadmg/aggregate//LV3005573876_LV7001903292_collapsed.stat.gz
