	ArchiveSampleID	PositionInRack	RackName	RackID	BulkSampleID	DepthSampledCalTape	DepthOrderedCalTape	OrganicContent	SurfaceExposed	RemarksArchiveSampling	SampledBy	SamplingDate	Submitter	SubmissionDate	RemarksSubmission	database_insert_by	from_spreadsheet	database_insert_datetime_utc	upload_uuid
0	LV3005349731	A03	ARack0239	LVL500291896	Stadsgrav2	1.0	1				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
1	LV3005349734	B03	ARack0239	LVL500291896	Stadsgrav2	2.0	2				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
2	LV3005349735	C03	ARack0239	LVL500291896	Stadsgrav2	3.5	3,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
3	LV3005349725	D03	ARack0239	LVL500291896	Stadsgrav2	5.0	5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
4	LV3005349741	A04	ARack0239	LVL500291896	Stadsgrav2	6.5	6,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
5	LV3005349726	B04	ARack0239	LVL500291896	Stadsgrav2	8.0	8				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
6	LV3005349736	C04	ARack0239	LVL500291896	Stadsgrav2	9.5	9,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
7	LV3005349743	D04	ARack0239	LVL500291896	Stadsgrav2	11.0	11				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
8	LV3005349724	A05	ARack0239	LVL500291896	Stadsgrav2	12.5	12,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
9	LV3005349727	B05	ARack0239	LVL500291896	Stadsgrav2	14.0	14				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
10	LV3005349733	C05	ARack0239	LVL500291896	Stadsgrav2	15.5	15,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
11	LV3005349742	D05	ARack0239	LVL500291896	Stadsgrav2	17.0	17				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
12	LV3005348862	A06	ARack0239	LVL500291896	Stadsgrav2	18.5	18,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
13	LV3005349737	B06	ARack0239	LVL500291896	Stadsgrav2	20.0	20				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
14	LV3005350137	C06	ARack0239	LVL500291896	Stadsgrav2	21.5	21,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
15	LV3005349740	D06	ARack0239	LVL500291896	Stadsgrav2	23.0	23				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
16	LV3005349771	A01	ARack0240	LVL500291895	Stadsgrav2	24.5	24,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
17	LV3005349765	B01	ARack0240	LVL500291895	Stadsgrav2	26.0	26				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
18	LV3005349757	C01	ARack0240	LVL500291895	Stadsgrav2	27.5	27,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
19	LV3005349751	D01	ARack0240	LVL500291895	Stadsgrav2	29.0	29		yes	bw	VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
20	LV3005349772	A02	ARack0240	LVL500291895	Stadsgrav2	30.5	30,5		yes	bw	VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
21	LV3005349766	B02	ARack0240	LVL500291895	Stadsgrav2	32.0	32		yes	bw	VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
22	LV3005349758	C02	ARack0240	LVL500291895	Stadsgrav2	33.5	33,5		yes	bw	VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
23	LV3005349752	D02	ARack0240	LVL500291895	Stadsgrav2	35.0	35				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
24	LV3005349773	A03	ARack0240	LVL500291895	Stadsgrav2	36.5	36,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
25	LV3005349767	B03	ARack0240	LVL500291895	Stadsgrav2	38.0	38				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
26	LV3005349759	C03	ARack0240	LVL500291895	Stadsgrav2	39.5	39,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
27	LV3005349753	D03	ARack0240	LVL500291895	Stadsgrav2	41.0	41				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
28	LV3005349775	A04	ARack0240	LVL500291895	Stadsgrav2	42.5	42,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
29	LV3005349768	B04	ARack0240	LVL500291895	Stadsgrav2	44.0	44				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
30	LV3005349760	C04	ARack0240	LVL500291895	Stadsgrav2	46.0	46				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
31	LV3005349754	D04	ARack0240	LVL500291895	Stadsgrav2	47.5	47,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
32	LV3005349755	A05	ARack0240	LVL500291895	Stadsgrav2	49.0	49				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
33	LV3005349776	B05	ARack0240	LVL500291895	Stadsgrav2	50.0	50				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
34	LV3005349761	C05	ARack0240	LVL500291895	Stadsgrav2	51.5	51,5				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
35	LV3005349769	D05	ARack0240	LVL500291895	Stadsgrav2	53.0	53				VSS	2022-11-17	WRF	2022-11-17		upload_user	SedimentArchive&SubSamplingALL_240417.txt	2024-04-30 08:37:27.491009+00:00	ef07c7b5-93a0-4223-ad48-6673ea022ccc
