	SubSampleID	RackName	RackID	PositionInRack	Mass	SampledBy	SamplingDate	RemarksSubSampling	ArchiveSampleID	Submitter	SubmissionDate	RemarksSubmission	database_insert_by	from_spreadsheet	database_insert_datetime_utc	upload_uuid
0	lv7001308189	rack45	lvl900040279	a01	156.0	pvb865	2023-10-18		cgg3-017392	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
1	lv7001308221	rack45	lvl900040279	b01	182.0	pvb865	2023-10-18		cgg3-017396	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
2	lv7001308198	rack45	lvl900040279	c01	177.0	pvb865	2023-10-18		cgg3-017399	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
3	lv7001308222	rack45	lvl900040279	d01	188.0	pvb865	2023-10-18		cgg3-017402	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
4	lv7001308199	rack45	lvl900040279	e01	174.0	pvb865	2023-10-18		cgg3-017405	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
5	lv7001308223	rack45	lvl900040279	f01	190.0	pvb865	2023-10-18		cgg3-017408	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
6	lv7001308200	rack45	lvl900040279	a02	203.0	pvb865	2023-10-18		cgg3-017411	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
7	lv7001308224	rack45	lvl900040279	b02	193.0	pvb865	2023-10-18		cgg3-017414	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
8	lv7001308201	rack45	lvl900040279	c02	201.0	pvb865	2023-10-18		cgg3-017417	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
9	lv7001308225	rack45	lvl900040279	d02	189.0	pvb865	2023-10-18		cgg3-017420	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
10	lv7001308219	rack45	lvl900040279	e02	200.0	pvb865	2023-10-18		cgg3-017431	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
11	lv7001308298	rack45	lvl900040279	f02	171.0	pvb865	2023-10-18		cgg3-017442	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
12	lv7005365986	rack175	lvl900117530	e06	182.0	mh	2023-11-18		lv3005574147	kk	2023-11-17		upload_user	ordering_edna_subsampling_for_robot_pipeline(231117_kk_isltest2).txt	2024-06-10 12:28:27.374253+00:00	250448cc-0d8f-400e-a7ab-6f17d0fc560a
13	lv7001308322	rack45	lvl900040279	a03	193.0	pvb865	2023-10-18		cgg3-017453	pvb865	2023-10-18		upload_user	iceland _isl22t1a+t1b+t3-sub.form-40samples.txt	2024-06-13 12:22:23.570501+00:00	8fba5fa0-9e7e-4ac0-a4bb-caec0ca0cd20
14	lv7005367348	rack52	lvl900114395	a01	192.0	mh_fm_vss	2023-10-04		lv3005888014	bds_yw	2023-03-24		upload_user	edna_subsampling_for_robot_pipeline(2023-09-27_bds_yw_oregon).txt	2024-06-10 10:13:34.387645+00:00	e6d8cbe7-4f32-4f31-82dd-dfc9182984f6
